"CONTA_CONTABIL";"DESCRICAO";"ORIENTACOES"
"2.01.01.09.14";"CSLL a Recolher -Circulante";"Contas que registram o valor referente a CSLL a recolher. Informar o saldo a recolher no final do periodo de apuracao."
"2.01.01.09.28";"Outros Tributos a Recolher-Circulante";"Contas que registram o valor dos tributos a recolher nao classificaveis em contas especificas."
"2.01.01.11";"VALORES MOBILIARIOS -HEDGE-NO PAIS";
"2.01.01.11.01";"Derivativos-Hedge Valor Justo-No Pais";"Contas que registram os instrumentos destinados a  hedge de valor justo operados em ambiente negocial no pais. Toda documentacao exigida para operar em 'Hedge Accounting' deve constar em Nota Explicativa encaminhada pela ECD. "
"2.01.01.11.02";"Derivativos-Hedge Fluxo de Caixa-No Pais";"Contas que registram os instrumentos destinados a  hedge de fluxo de caixa operados em ambiente negocial no pais. Toda documentacao exigida para operar em 'Hedge Accounting' deve constar em Nota Explicativa encaminhada pela ECD."
"2.01.01.11.03";"Derivativos-Hedge  Investimento no Exterior-No Pais";"Contas que registram os instrumentos destinados a  hedge de fluxo de investimento no exterior operados em ambiente negocial no pais. Toda documentacao exigida para operar em 'Hedge Accounting' deve constar em Nota Explicativa encaminhada pela ECD."
"2.01.01.11.70";"Subconta-Ajuste a Valor Justo-Valores Mobiliarios-Hedge-No Pais";"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os passivos financeiros, inclusive decorrentes apenas de sua mensuracao inicial. Referidos valores  deverao ser computados na apuracao  Lucro Real quando da baixa ou liquidacao do passivo(arts. 49/53,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 5/6). Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 33, ?3o, Instrucao Normativa SRF no 1.515/2014)"
"2.01.01.11.90";"Subconta-Adocao Inicial-Valores Mobiliarios-Hedge-No Pais";"Contas que registram as diferencas positivas ou negativas, na data da adocao dos efeitos da Lei no 12.973/2014, entre o valor do passivo mensurado de acordo as disposicoes da Lei no 6.404/1976 e o valor mensurado pelos metodos e criterios vigentes em 31/12/2007(arts. 66/67, Lei no 12.973/2014). Referidos valores  deverao ser computados na apuracao  Lucro Real a medida que o passivo for baixado ou liquidado (arts. 165 e 168,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 1/2). Conforme disciplinado art. 169, ? 9a, Instrucao Normativa SRF no 1.515/2014, cada subconta de adocao inicial deve registrar individualmente a diferenca de valor identificada em cada ativo.  Apenas no caso da conta contabil que registra o passivo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 169, ?6o, Instrucao Normativa SRF no 1.515/2014)"
"2.01.01.12";"VALORES MOBILIARIOS -HEDGE-NO EXTERIOR";
"2.01.01.12.01";"Derivativos-Hedge Valor Justo-No Exterior";"Contas que registram os instrumentos destinados a  hedge de valor justo operados em ambiente negocial no exterior. Toda documentacao exigida para operar em 'Hedge Accounting' deve constar em Nota Explicativa encaminhada pela ECD. "
"2.01.01.12.02";"Derivativos-Hedge Fluxo de Caixa-No Exterior";"Contas que registram os instrumentos destinados a  hedge de fluxo de caixa operados em ambiente negocial no exterior. Toda documentacao exigida para operar em 'Hedge Accounting' deve constar em Nota Explicativa encaminhada pela ECD."
"2.01.01.12.03";"Derivativos-Hedge  Investimento no Exterior-No Exterior";"Contas que registram os instrumentos destinados a  hedge de fluxo de investimento no exterior operados em ambiente negocial no exterior. Toda documentacao exigida para operar em 'Hedge Accounting' deve constar em Nota Explicativa encaminhada pela ECD."
"2.01.01.12.70";"Subconta-Ajuste a Valor Justo-Valores Mobiliarios-Hedge-No Exterior";"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os passivos financeiros, inclusive decorrentes apenas de sua mensuracao inicial. Referidos valores  deverao ser computados na apuracao  Lucro Real quando da baixa ou liquidacao do passivo(arts. 49/53,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 5/6), sem prejuizo observancia aos arts.  9o a 12 da Instrucao Normativa SRF No 213/2002. Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 33, ?3o, Instrucao Normativa SRF no 1.515/2014)"
"2.01.01.12.90";"Subconta-Adocao Inicial-Valores Mobiliarios-Hedge-No Exterior";"Contas que registram as diferencas positivas ou negativas, na data da adocao dos efeitos da Lei no 12.973/2014, entre o valor do passivo mensurado de acordo as disposicoes da Lei no 6.404/1976 e o valor mensurado pelos metodos e criterios vigentes em 31/12/2007(arts. 66/67, Lei no 12.973/2014). Referidos valores  deverao ser computados na apuracao  Lucro Real a medida que o passivo for baixado ou liquidado (arts. 165 e 168,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 1/2), sem prejuizo observancia aos arts.  9o a 12 da Instrucao Normativa SRF No 213/2002.  Conforme disciplinado art. 169, ? 9a, Instrucao Normativa SRF no 1.515/2014, cada subconta de adocao inicial deve registrar individualmente a diferenca de valor identificada em cada ativo.  Apenas no caso da conta contabil que registra o passivo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 169, ?6o, Instrucao Normativa SRF no 1.515/2014)"
"2.01.01.13";"TITULOS DE DIVIDA-CIRCULANTE";
"2.01.01.13.01";"Debentures a Pagar-Circulante";"Contas que registram o valor das debentures a pagar no final do periodo de apuracao. Havendo contas societarias especificas para juros e encargos decorrentes, tambem devem ser classificados nesta conta."
"2.01.01.13.02";"Premio na Emissao de Debentures-Circulante";"Contas que registram o valor do premio na emissao de debentures a pagar no final do periodo de apuracao"
"2.01.01.13.04";"Notas Promissorias a Pagar";"Contas que registram o valor notas promissorias('commercial papers') a pagar no final do periodo de apuracao. Havendo contas societarias especificas para juros e encargos decorrentes, tambem devem ser classificados nesta conta."
"2.01.01.13.05";"Bonds a Pagar";"Contas que registram o valor de Bonds a pagar no final do periodo de apuracao. Havendo contas societarias especificas para juros e encargos decorrentes, tambem devem ser classificados nesta conta."
"2.01.01.13.06";"Certificados de Recebiveis Imobiliarios-CRI";"Contas que registram o valor de Certificados de Recebiveis Imobiliarios a pagar no final do periodo de apuracao. Havendo contas societarias especificas para juros e encargos decorrentes, tambem devem ser classificados nesta conta."
"2.01.01.13.07";"Certificados de Recebiveis do Agronegocio-CRA";"Contas que registram o valor de Certificados de Recebiveis do Agronegocio a pagar no final do periodo de apuracao. Havendo contas societarias especificas para juros e encargos decorrentes, tambem devem ser classificados nesta conta."
"2.01.01.13.25";"Outros Titulos de Divida a Pagar-Pelo Custo Amortizado-Circulante";"Contas que registram outros titulos emitidos para a captacao de recursos financeiros, nao classificados em contas mais especificas, mensurados pelo custo amortizado. Havendo contas societarias especificas para juros e encargos decorrentes, tambem devem ser classificados nesta conta."
"2.01.01.13.27";"(-) Custos a Amortizar-Titulos de Divida-Circulante";"Contas que registram o valor do custo a amortizar dos titulos de divida, saldo existente no final do periodo de apuracao."
"2.01.01.13.28";"Outros Titulos de Divida a Pagar-Pelo Pelo Valor Justo(VJPR)-Circulante";"Contas que registram outros titulos emitidos para a captacao de recursos financeiros, nao classificados em contas mais especificas, mensurados pelo valor justo reconhecido diretamente no resultado."
"2.01.01.13.29";"(-) Desagio a Apropriar-Titulos de Divida-Circulante";"Contas que registram o valor do desagio aplicado a titulos de divida."
"2.01.01.13.50";"(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP)- Titulos de Divida-Circulante";"Contas que registram os valores dos juros a serem apropriados como despesa financeira decorrente do ajuste a valor presente efetuados nos titulos de dividas. Referidos valores serao apropriados ao resultado pelo regime de competencia e adicionados ao Lucro Real(art. 38, ?2o, Instrucao Normativa SRF no 1.515/2014). Em sendo as contrapartidas registradas em subcontas vinculadas a ativos, poderao ser excluidas no periodo em que os ativos forem realizados, nos termos do art. 37, Instrucao Normativa SRF no 1.515/2014."
"2.01.01.13.70";"Subconta-Ajuste a Valor Justo-Titulos de Divida a Pagar-Circulante";"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os passivos financeiros, inclusive decorrentes apenas de sua mensuracao inicial. Referidos valores  deverao ser computados na apuracao  Lucro Real quando da baixa ou liquidacao do passivo(arts. 44 e 48,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 5/6). Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 33, ?3o, Instrucao Normativa SRF no 1.515/2014)"
"2.01.01.13.90";"Subconta-Adocao Inicial-Titulos de Divida-Circulante";"Contas que registram as diferencas positivas ou negativas, na data da adocao dos efeitos da Lei no 12.973/2014, entre o valor do passivo mensurado de acordo as disposicoes da Lei no 6.404/1976 e o valor mensurado pelos metodos e criterios vigentes em 31/12/2007(arts. 66/67, Lei no 12.973/2014). Referidos valores  deverao ser computados na apuracao  Lucro Real a medida que o passivo for baixado ou liquidado (arts. 165 e 168,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 1/2). Conforme disciplinado art. 169, ? 9a, Instrucao Normativa SRF no 1.515/2014, cada subconta de adocao inicial deve registrar individualmente a diferenca de valor identificada em cada ativo.  Apenas no caso da conta contabil que registra o passivo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 169, ?6o, Instrucao Normativa SRF no 1.515/2014)"
"2.01.01.15";"PROVISOES-CIRCULANTE";
"2.01.01.15.01";"Provisao para o Imposto de Renda";"Contas que registram o valor da provisao para o imposto de renda a pagar."
"2.01.01.15.02";"Provisao para a Contribuicao Social sobre o Lucro Liquido";"Contas que registram o valor da provisao para a contribuicao social sobre o lucro liquido a pagar."
"2.01.01.15.03";"Ferias a Pagar";"Contas que registram o valor de ferias a pagar de administradores e empregados."
"2.01.01.15.04";"13o Salario a Pagar";"Contas que registram o valor de 13o salario a pagar de administradores e empregados."
"2.01.01.15.05";"Provisoes de Natureza Trabalhista-Circulante";"Contas que registram o valor da provisao de natureza trabalhista."
"2.01.01.15.06";"Provisoes de Natureza Tributaria-Circulante";"Contas que registram o valor da provisao de natureza tributaria."
"2.01.01.15.07";"Provisoes de Natureza Civel-Circulante";"Contas que registram o valor da provisao de natureza civel."
"2.01.01.15.28";"Outras Provisoes";"Contas que registram o valor das demais provisoes nao classificadas em contas mais especificas."
"2.01.01.15.50";"(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP)- Provisoes-Circulante";"Contas que registram os valores dos juros a serem apropriados como despesa financeira decorrente do ajuste a valor presente efetuados nas provisoes. Referidos valores serao apropriados ao resultado pelo regime de competencia e adicionados ao Lucro Real(art. 38, ?2o, Instrucao Normativa SRF no 1.515/2014). Em sendo as contrapartidas registradas em subcontas vinculadas a ativos, poderao ser excluidas no periodo em que os ativos forem realizados, nos termos do art. 37, Instrucao Normativa SRF no 1.515/2014."
"2.01.01.17";"OUTRAS OBRIGACOES-CIRCULANTE";
"2.01.01.17.01";"Mutuos-Partes Nao Relacionadas-No Pais-Ciculante";"Contas que registram os emprestimos tomados de partes nao relacionadas  com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12, situadas no pais. Juros e encargos decorrentes tambem devem ser registrados nesta conta."
"2.01.01.17.02";"Mutuos-Partes Nao Relacionadas-No Exterior-Ciculante";"Contas que registram os emprestimos tomados de partes nao relacionadas  com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12, situadas no exterior. Juros e encargos decorrentes tambem devem ser registrados nesta conta."
"2.01.01.17.03";"Mutuos-Partes Relacionadas-No Pais-Circulante";"Contas que registram os emprestimos tomados de partes relacionadas  com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12, situadas no pais. Juros e encargos decorrentes tambem devem ser registrados nesta conta."
"2.01.01.17.04";"Mutuos-Partes Relacionadas-No Exterior-Circulante";"Contas que registram os emprestimos tomados de partes relacionadas  com a declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12, situadas no exterior. Juros e encargos decorrentes tambem devem ser registrados nesta conta."
"2.01.01.17.09";"Contraprestacao Contingente Passiva-Combinacao de Negocios-Circulante";"Contas que registram a contraprestacao contingente passiva, em uma combinacao de negocios. Em termos gerais, constitui clausula assumida pelo adquirente de transferir ativos ou participacoes societarias adicionais , aos ex-proprietarios da adquirida, se certas condicoes especificas venham a ocorrer. Para fins de gerar efeito sobre tratamento fiscal das parcelas integrantes do custo de aquisicao de participacao societaria, deve-se observar os arts. 110/111, Instrucao Normativa SRF No 1.515/2014 ."
"2.01.01.17.10";"Passivo Contingente Assumido em Combinacao de Negocios-Circulante";"Contas que registram o passivo contingente assumido de curto prazo em uma combinacao de negocios."
"2.01.01.17.11";"Faturamento para Entrega Futura-Circulante";"Contas que registram os faturamentos antecipados, por conta de futuros fornecimentos, nao gerando nenhum direito, portanto retificando o saldo de duplicatas a receber."
"2.01.01.17.12";"Juros sobre o Capital Proprio a Pagar-Circulante";"Contas que registram o valor dos juros sobre o capital proprio a serem pagos no exercicio subsequente aos socios ou acionistas."
"2.01.01.17.13";"Dividendos a Pagar-Circulante";"Contas que registram o valor dos dividendos aprovados pela Assembleia, creditados aos acionistas ou propostos pela administracao da pessoa juridica na data do balanco, como parte da destinacao proposta para os lucros."
"2.01.01.17.15";" Conta de Controle de Custo Contratado-Circulante";"Contas que registram o controle de custo contratado, utilizadas  pelas pessoas juridicas da atividade imobiliaria."
"2.01.01.17.16";" Conta de Controle de Custo Orcado-Circulante";"Contas que registram o controle de custo orcado, utilizadas  pelas pessoas juridicas da atividade imobiliaria."
"2.01.01.17.25";"Direitos Creditorios a Pagar-Circulante";"Contas que registram os direitos creditorios a pagar, utilizadas  por pessoa juridica que exerca ativididade de securitizacao."
"2.01.01.17.28";"Outras Obrigacoes-Circulante";"Contas que registram outras obrigacoes na classificadas em contas mais especificas. "
"2.01.01.17.50";"(-)Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) -Outras Contas a Pagar-Circulante";"Contas que registram os valores dos juros a serem apropriados como despesa financeira decorrente do ajuste a valor presente efetuados em outras obrigacoes. Referidos valores serao apropriados ao resultado pelo regime de competencia e adicionados ao Lucro Real(art. 38, ?2o, Instrucao Normativa SRF no 1.515/2014). Em sendo as contrapartidas registradas em subcontas vinculadas a ativos, poderao ser excluidas no periodo em que os ativos forem realizados, nos termos do art. 37, Instrucao Normativa SRF no 1.515/2014."
"2.01.01.19";"RECEITAS DIFERIDAS";
"2.01.01.19.01";"Receitas Diferidas";"Contas que registram o valor das receitas faturadas e recebidas antecipadamente decorrente da venda de bens e servicos, cuja a execucao e entrega ocorrem ate o termino do ano-calendario subsequente. Tambem se considera como receitas de exercicios futuros os juros e demais receitas financeiras recebidas antecipadamente em transacoes financeiras."
"2.01.01.19.02";"(-) Custos Correspondentes as Receitas Diferidas";"Contas que registram o valor dos custos e despesas de exercicios futuros referentes as receitas diferidas."
"2.01.01.19.03";"Subvencao Governamental a Apropriar";"Contas que registram o valor das doacoes e subvencoes governamentais, enquanto nao transferidas para o resultado do exercicio."
"2.01.01.19.50";"(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) -Receitas Diferidas";"Contas que registram os valores dos juros a serem apropriados como despesa financeira decorrente do ajuste a valor presente efetuados em outras obrigacoes. Referidos valores serao apropriados ao resultado pelo regime de competencia e adicionados ao Lucro Real(art. 38, ?2o, Instrucao Normativa SRF no 1.515/2014). Em sendo as contrapartidas registradas em subcontas vinculadas a ativos, poderao ser excluidas no periodo em que os ativos forem realizados, nos termos do art. 37, Instrucao Normativa SRF no 1.515/2014."
"2.02";"PASSIVO NAO-CIRCULANTE";
"2.02.01";"OBRIGACOES A LONGO PRAZO";
"2.02.01.01";"EMPRESTIMOS E FINANCIAMENTOS-LONGO PRAZO";
"2.02.01.01.01";"Fornecedores-No Pais-Longo Prazo";"Contas que registram o valor a pagar correspondentes a compra de bens, direitos e servicos de fornecedores nacionais, seja relacionado ou nao com declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12."
"2.02.01.01.02";"Fornecedores-No Exterior-Longo Prazo";"Contas que registram o valor a pagar correspondentes a compra de bens, direitos e servicos de fornecedores estrangeiros, seja relacionado ou nao com declarante, conforme conceito definido no CPC 05(R1), itens 09 a 12."
"2.02.01.01.03";"Credores por Financiamento-Longo Prazo";"Contas que registram obrigacoes resultantes de financiamentos de bens e equipamentos do ativo imobilizado concedidos a empresa pelos proprios fornecedores de tais bens."
"2.02.01.01.04";"Titulos a Pagar-Longo Prazo";"Contas que registram outras titulos a pagar nao classificados em contas mais especificas, principalmente no grupo 2.02.01.07"
"2.02.01.01.05";"Duplicatas Descontadas-Longo Prazo";"Contas que registram o valor das parcelas a serem subtraidas do longo prazo, correspondentes a valores das duplicatas descontadas que retificam o grupo de clientes. Ainda que represente uma divida, caso a pessoa juridica registre esta conta no ativo, deve ser classificada neste referencial junto com a conta que retifique na contabilidade societaria."
"2.02.01.01.06";"Emprestimos ou Financiamentos-no Pais-Longo Prazo";"Contas que registram o valor dos financiamentos e emprestimos a longo prazo, obtidos com instituicao financeira no pais. Encargos financeiros a transcorrer e juros a pagar decorrentes devem ser classificadas nesta conta. As obrigacoes por emprestimos tomados  com pessoa juridica nao financeira e fisica deverao ser informados na conta de mutuos."
"2.02.01.01.07";"Emprestimos ou Financiamentos-no Exterior-Longo Prazo";"Contas que registram o valor dos financiamentos e emprestimos a longo prazo, obtidos com instituicao financeira no exterior. Encargos financeiros a transcorrer e juros a pagar decorrentes devem ser classificadas nesta conta. As obrigacoes por emprestimos tomados  com pessoa juridica nao financeira e fisica deverao ser informados na conta de mutuos"
"2.02.01.01.08";"Adiantamentos de Contrato de Cambio-Longo Prazo";"Contas que registram o valor das operacoes de credito na modalidade de adiantamento de contrato de cambio, venciveis a longo prazo."
"2.02.01.01.09";"Arrendamento Mercantil-no Pais-Longo Prazo";"Contas que registram o valor das obrigacoes relativas a arrendamento mercantil  contratado no pais, venciveis a longo prazo."
"2.02.01.01.10";"Arrendamento Mercantil-no Exterior-Longo Prazo";"Contas que registram o valor das obrigacoes relativas a arrendamento mercantil financeiro contratado no exterior, venciveis a longo prazo."
"2.02.01.01.11";"Adiantamentos de Clientes-no Pais-Longo Prazo";"Contas que registram o valor correspondente a adiantamentos de clientes no pais de longo prazo."
"2.02.01.01.12";"Adiantamentos de Clientes-no Exterior-Longo Prazo";"Contas que registram o valor correspondente a adiantamentos de clientes no exterior de longo prazo."
"2.02.01.01.50";"(-)Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) -Emprest. e Financiam.-Longo Prazo";"Contas que registram os valores dos juros a serem apropriados como despesa financeira decorrente do ajuste a valor presente efetuados nos instrumentos de dividas vinculados a emprestimos e financiamentos. Referidos valores serao apropriados ao resultado pelo regime de competencia e adicionados ao Lucro Real(art. 38, ?2o, Instrucao Normativa SRF no 1.515/2014). Exceto para as operacoes de leasing financeiro(art. 89, Instrucao Normativa SRF no 1.515/2014) em sendo as contrapartidas registradas em subcontas vinculadas aos ativos adquiridos, poderao ser excluidas no periodo em que os ativos forem realizados, nos termos do art. 37, Instrucao Normativa SRF no 1.515/2014."
"2.02.01.01.70";"Subconta-Ajuste a Valor Justo-Emprestimos e Financiamentos-Longo Prazo";"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os passivos financeiros, inclusive decorrentes apenas de sua mensuracao inicial. Referidos valores  deverao ser computados na apuracao  Lucro Real quando da baixa ou liquidacao do passivo(arts. 49/53,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 5/6). Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 33, ?3o, Instrucao Normativa SRF no 1.515/2014)"
"2.02.01.01.90";"Subconta-Adocao Inicial-Emprestimos e Financiamentos-Longo Prazo";"Contas que registram as diferencas positivas ou negativas, na data da adocao dos efeitos da Lei no 12.973/2014, entre o valor do passivo mensurado de acordo as disposicoes da Lei no 6.404/1976 e o valor mensurado pelos metodos e criterios vigentes em 31/12/2007(arts. 66/67, Lei no 12.973/2014). Referidos valores  deverao ser computados na apuracao  Lucro Real a medida que o passivo for baixado ou liquidado (arts. 165 e 168,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 1/2). Conforme disciplinado art. 169, ? 9a, Instrucao Normativa SRF no 1.515/2014, cada subconta de adocao inicial deve registrar individualmente a diferenca de valor identificada em cada ativo.  Apenas no caso da conta contabil que registra o passivo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 169, ?6o, Instrucao Normativa SRF no 1.515/2014)"
"2.02.01.02";"BENEFICIOS A EMPREGADOS-LONGO PRAZO";
"2.02.01.02.01";"Beneficios Pos Emprego-Longo Prazo ";"Contas que registram os beneficios pos-emprego a pagar no longo prazo. Nos termos do item 26, CPC 33(R1), aqueles pagos apos o periodo de emprego, tais como aposentadoria, pensoes, seguro de via e assistencia medica pos-emprego."
"2.02.01.02.02";"Outro Beneficios de Longo Prazo-Longo Prazo ";"Contas que registram outros beneficios de longo prazo a pagar no longo prazo. Nos termos do item 5(c), CPC 33(R1), sao aqueles que nao se espera  sejam integralmente liquidados em ate doze meses apos o fim do exercicio em que os empregados prestarem o respectivo servico, tais como ausencias remuneradas de longo prazo, licencas por tempo de servico, jubileu , beneficios por invalidez de longo prazo."
"2.02.01.02.03";"Beneficios Rescisorios-Longo Prazo ";"Contas que registram os beneficios rescisorios a pagar no longo prazo. Nos termos do item 8, CPC 33(R1), sao aqueles fornecidos pela rescisao do contrato de trabalho de empregado, seja decisao da pessoa juridica de terminar o vinculo empregaticio do empregado antes da data normal da aposentadoria, seja decisao do empregado de aceitar uma oferta de beneficios em troca da rescisao do contrato de trabalho."
"2.02.01.03";"PARCELAMENTOS FISCAIS -LONGO PRAZO";
"2.02.01.03.01";"Parcelamentos Especiais e Ordinarios a Recolher-Tributos Federais-Longo Prazo";"Contas que registram o valor de parcelamentos especiais e ordinarios de tributos federais venciveis a longo prazo."
"2.02.01.03.02";"Parcelamentos Especiais e Ordinarios a Recolher-Tributos Estaduais e Municipais-Longo Prazo";"Contas que registram o valor de parcelamentos especiais e ordinarios de tributos estaduais e municipais venciveis a longo prazo."
"2.02.01.03.28";"Outros Tributos a Recolher-Longo Prazo";"Contas que registram o valor de outras obrigacoes tributarias venciveis a longo prazo, nao classificadas em contas mais especificas. "
"2.02.01.05";"PASSIVOS FISCAIS DIFERIDOS-LONGO PRAZO";
"2.02.01.05.01";"Debitos Fiscais IRPJ-Diferencas Temporarias-Longo Prazo";"Contas que registram o valor do tributo devido em periodo futuro relacionado a diferencas temporarias tributaveis. Diferencas temporarias sao divergencias no valor contabil de ativo ou passivo no balanco e sua base fiscal, nos termos do CPC32."
"2.02.01.05.02";"Debitos Fiscais CSLL-Diferencas Temporarias-Longo Prazo";"Contas que registram o valor do tributo devido em periodo futuro relacionado a diferencas temporarias tributaveis. Diferencas temporarias sao divergencias no valor contabil de ativo ou passivo no balanco e sua base fiscal, nos termos do CPC32."
"2.02.01.07";"TITULOS DE DIVIDA-LONGO PRAZO";
"2.02.01.07.01";"Debentures a Pagar-Longo Prazo";"Contas que registram o valor das debentures a pagar no longo prazo. Havendo contas societarias especificas para juros e encargos decorrentes, tambem devem ser classificados nesta conta."
"2.02.01.07.02";"Premio na Emissao de Debentures-Longo Prazo";"Contas que registram o valor do premio na emissao de  debentures a pagar no longo prazo. Havendo contas societarias especificas para juros e encargos decorrentes, tambem devem ser classificados nesta conta. "
"2.02.01.07.04";"Notas Promissorias a Pagar-Longo Prazo";"Contas que registram o valor notas promissorias('commercial papers') a pagar no longo prazo. Havendo contas societarias especificas para juros e encargos decorrentes, tambem devem ser classificados nesta conta."
"2.02.01.07.05";"Bonds a Pagar";"Contas que registram o valor de Bonds a pagar no longo prazo. Havendo contas societarias especificas para juros e encargos decorrentes, tambem devem ser classificados nesta conta."
"2.02.01.07.06";"Certificados de Recebiveis Imobiliarios(CRI)-Longo Prazo";"Contas que registram o valor de Certificados de Recebiveis Imobiliarios a pagar no longo prazo. Havendo contas societarias especificas para juros e encargos decorrentes, tambem devem ser classificados nesta conta."
"2.02.01.07.07";"Certificados de Recebiveis do Agronegocio(CRA)-Longo Prazo";"Contas que registram o valor de Certificados de Recebiveis do Agronegocio a pagar no longo prazo. Havendo contas societarias especificas para juros e encargos decorrentes, tambem devem ser classificados nesta conta."
"2.02.01.07.25";"Outros Titulos de Divida a Pagar-- Pelo Custo Amortizado -Longo Prazo";"Contas que registram outros titulos emitidos para a captacao de recursos financeiros, nao classificados em contas mais especificas, mensurados pelo custo amortizado. Havendo contas societarias especificas para juros e encargos decorrentes, tambem devem ser classificados nesta conta."
"2.02.01.07.27";"(-) Custos a Amortizar-Titulos de Divida-Longo Prazo";"Contas que registram o valor do custo a amortizar a longo prazo dos titulos de dividas."
"2.02.01.07.28";"Outros Titulos de Divida a Pagar-Pelo Pelo Valor Justo(VJPR) -- Longo Prazo";"Contas que registram outros titulos emitidos para a captacao de recursos financeiros, nao classificados em contas mais especificas, mensurados pelo valor justo reconhecido diretamente no resultado."
"2.02.01.07.29";"(-) Desagio a Apropriar-Debentures-Longo Prazo";"Contas que registram o valor do desagio aplicado a titulos de divida."
"2.02.01.07.70";"Subconta-Ajuste a Valor Justo-Titulos de Divida a Pagar-- Longo Prazo";"Contas que registram os ajustes a valor justo positivos ou negativos efetuados sobre os passivos financeiros, inclusive decorrentes apenas de sua mensuracao inicial. Referidos valores  deverao ser computados na apuracao  Lucro Real quando da baixa ou liquidacao do passivo(arts. 44 e 48,  Instrucao Normativa SRF no 1.515/2014, cujos detalhes sobre a contabilizacao estao descritos em seu Anexo I,  exemplos 5/6). Apenas no caso da conta contabil que registra o ativo consolidar varios itens de mesma natureza, pode-se  utilizar uma mesma subconta coletiva, desde que demonstre-os em razao auxiliar vinculado a ECD(art. 33, ?3o, Instrucao Normativa SRF no 1.515/2014)"
"2.02.01.09";"PROVISOES-LONGO PRAZO";
"2.02.01.09.01";"Provisoes de Natureza Trabalhista-Longo Prazo";"Contas que registram o valor da provisao de natureza trabalhista."
"2.02.01.09.02";"Provisoes de Natureza Tributaria-Longo Prazo";"Contas que registram o valor da provisao de natureza tributaria."
"2.02.01.09.03";"Provisoes de Natureza Civel-Longo Prazo";"Contas que registram o valor da provisao de natureza civel."
"2.02.01.09.28";"Outras Provisoes-Longo Prazo";"Contas que registram o valor das provisoes de longo prazo nao classificaveis em contas especificas nesse plano de contas."
"2.02.01.10";"OBRIGACOES FISCAIS-LONGO PRAZO";
"2.02.01.10.01";"IRRF a Recolher-Longo Prazo";"Contas que registram o valor referentes ao IRRF a Recolher apos o final do periodo de apuracao seguinte (longo prazo)."
"2.02.01.10.02";"IPI a Recolher-Longo Prazo";"Contas que registram o valor referentes ao IPI a Recolher apos o final do periodo de apuracao seguinte (longo prazo)."
